content_id,model_prob,action,reason_code,days_since_last_update,avg_position,ctr,impressions_prev_30d,clicks_prev_30d,search_volume,competition,word_count,content_age_days
content_f6a829f0f33d,0.968790151659603,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,31.7,0.16,8252,12,0.0,0.0,5451.0,139
content_0b6b5c06f438,0.9686308712848675,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,24.4,0.38,6635,10,0.0,0.0,6124.0,223
content_eb3b2c3bbc34,0.9683919220724309,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,1.3,0.0,313,0,0.0,0.0,2754.0,117
content_bbb7b13eac87,0.9683689372981749,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,35.3,0.05,6342,2,0.0,0.0,5534.0,144
content_cd7885856619,0.9683601681892282,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,20.7,0.08,1197,1,0.0,0.0,5180.0,144
content_b60c70399545,0.9683570881124169,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,30.3,0.08,6114,5,0.0,0.0,5626.0,139
content_5a67177a8e65,0.9682957547157615,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,25.6,0.08,2047,2,0.0,0.0,5424.0,223
content_cca1e559cffd,0.9682879477312223,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,2.9,0.0,355,0,10.0,0.0,1270.0,104
content_2d82da2bbaab,0.9681783244094052,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,33.3,0.13,13164,10,0.0,0.0,6149.0,216
content_c3c21134dcc5,0.968137531960303,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,31.0,0.09,11109,19,0.0,0.0,5870.0,223
content_4226f64334c2,0.9681261440005193,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,20.9,0.22,3832,10,0.0,0.0,5642.0,223
content_00ff5d3c1cc2,0.9681261440005193,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,23.8,0.28,3989,11,0.0,0.0,6104.0,223
content_70af67c78f7c,0.9681139900819505,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,35.7,0.19,4487,14,0.0,0.0,6317.0,223
content_095fb958f86f,0.9681112050289906,HIGH PRIORITY REFRESH,model_flagged_decline_risk,1,3.0,0.0,3,0,0.0,0.0,3225.0,91
